ID;Domaine;Question;"Réponse
(Oui/Non/Partiel)";Criticité;État XANADU;Axe Remédiation 1;Axe Remédiation 2;Bonne Pratique;Priorité
NET-01;Sécurité Réseau;Le réseau est-il segmenté en VLANs par service ?;NON;Élevée;❌ Non - Réseau plat;Créer VLANs par service (Compta, RH, Commercial, Labo, Management);Déployer pare-feu inter-VLAN avec politique DENY par défaut;VLAN de management isolé, isolation serveurs critiques;P0
NET-02;Sécurité Réseau;Un pare-feu d'entreprise est-il déployé avec IDS/IPS ?;NON;Critique;❌ Non - Routeur/box basique;Déployer pare-feu d'entreprise (Fortinet, Palo Alto, Cisco);Configurer règles DENY par défaut, logging centralisé;IDS/IPS activé, audit trimestriel des règles, redondance HA;P0
NET-03;Sécurité Réseau;Le lien MPLS vers site distant est-il redondé ?;PARTIEL;Moyenne;⚠️ Partiel - MPLS SLA 99,9% mais pas de backup;Prévoir lien de secours (4G/5G) avec basculement automatique;Tester basculement mensuel, monitorer latence/jitter;RTO < 1 minute, RODC sur site distant pour continuité;P2
NET-04;Sécurité Réseau;Les logs réseau sont-ils centralisés (SIEM) ?;NON;Élevée;❌ Non - Logs locaux;Déployer SIEM/collecteur logs (Graylog, ELK, Splunk);Centraliser logs pare-feu, AD, serveurs, NAS;Rétention 1 an minimum, alertes temps réel, dashboards;P2
APP-01;Sécurité des Applications;L'ERP est-il accessible uniquement en HTTPS ?;NON;Critique;❌ Non - HTTP (données en clair);Déployer certificat SSL/TLS 1.2+ sur ERP;Forcer redirection HTTP → HTTPS, désactiver protocoles obsolètes;Certificat valide renouvelé automatiquement, HSTS activé;P1
APP-02;Sécurité des Applications;L'authentification ERP est-elle centralisée avec AD ?;NON;Critique;❌ Non - Base locale, comptes génériques;Intégrer authentification ERP avec Active Directory (LDAP);Supprimer tous les comptes génériques, activer MFA;SSO pour transparence, session timeout 30 min inactivité;P1
APP-03;Sécurité des Applications;La base PostgreSQL est-elle durcie et sécurisée ?;NON;Critique;❌ Non - Config par défaut probable;Configurer pg_hba.conf : restreindre IPs, forcer SSL;Créer comptes nominatifs avec droits minimum (RBAC);Audit PostgreSQL activé, backups chiffrés, WAF en frontal;P0
APP-04;Sécurité des Applications;Office 365 est-il sécurisé (MFA, DLP) ?;PARTIEL;Élevée;⚠️ Partiel - Utilisé mais config inconnue;Activer MFA pour TOUS les comptes O365;Configurer DLP pour bloquer fuite données sensibles;Azure AD Connect pour SSO, accès conditionnel par géolocalisation;P1
AV-01;Protection Antivirus;Tous les équipements ont-ils un antivirus/EDR centralisé ?;NON;Critique;❌ Non - Couverture hétérogène;Déployer EDR centralisé sur 100% des équipements (serveurs + postes);Remplacer antivirus gratuits par solution d'entreprise unique;Console centralisée, agents non-désinstallables, scan temps réel;P1
AV-02;Protection Antivirus;Les signatures antivirus sont-elles à jour automatiquement ?;NON;Élevée;❌ Non - Laissé à discrétion utilisateurs;Forcer mises à jour automatiques quotidiennes;Configurer alertes si signature > 7 jours sans update;Déploiement via GPO/MDM, tests EICAR réguliers;P1
VULN-01;Gestion Vulnérabilités;Les mises à jour sont-elles appliquées selon un planning ?;NON;Critique;❌ Non - Non contrôlées;Déployer WSUS pour gestion centralisée des mises à jour;Établir calendrier mensuel : patches critiques < 7j, importants < 30j;Fenêtres de maintenance, groupes Dev/Test puis Prod, rollback documenté;P1
VULN-02;Gestion Vulnérabilités;Des scans de vulnérabilités sont-ils réalisés régulièrement ?;NON;Moyenne;❌ Non - Pas de scans;Déployer scanner réseau (Nessus, OpenVAS) pour scans trimestriels;Implémenter process de remédiation : scoring CVSS, priorisation, tracking;Pen tests annuels par cabinet externe, rapports avec recommandations;P2
VULN-03;Gestion Vulnérabilités;Un inventaire logiciels/versions est-il maintenu ?;NON;Moyenne;❌ Non - Pas d'inventaire centralisé;Déployer outil d'inventaire automatique (GLPI, OCS Inventory);Tracker versions EOL, alerter 12 mois avant support end;CMDB unique, auto-découverte, planification upgrades;P2
END-01;Postes de Travail;Les utilisateurs ont-ils des comptes standards (pas admin local) ?;NON;Critique;❌ Non - Tous admin locaux;Retirer droits admin de TOUS les utilisateurs immédiatement;Utiliser LAPS pour gérer mots de passe admin (rotation 30j);UAC obligatoire, audit mensuel escalades privilèges;P0
END-02;Postes de Travail;Les portables sont-ils chiffrés (BitLocker/FileVault) ?;NON;Élevée;❌ Non - Pas de chiffrement;Déployer BitLocker Windows via GPO sur tous les portables;Stocker clés de récupération dans Azure Key Vault;TPM activé, wipe à distance (MDM), audit trimestriel compliance;P1
END-03;Postes de Travail;Tous les postes sont-ils joints au domaine AD ?;OUI;Élevée;✅ Probablement - À vérifier;Vérifier 100% des postes joints à AD;Déployer GPO standards (pare-feu, antivirus, updates);Images standards par type, déploiement OSD automatisé;P2
AWARE-01;Sensibilisation;Un programme de formation sécurité est-il déployé ?;NON;Moyenne;❌ Non - Absent;Créer programme de sensibilisation annuel obligatoire (1-2h);Lancer campagnes phishing mensuelles avec rapports;E-learning + sessions groupe, certificats signés, newsletter trimestrielle;P2
AWARE-02;Sensibilisation;Une politique d'usage acceptable (AUP) est-elle formalisée ?;NON;Moyenne;❌ Non - Pas documentée;Rédiger AUP couvrant internet, email, données, télétravail;Signature obligatoire lors onboarding, mise à jour annuelle;Document simple et lisible, conséquences documentées, DLP pour enforcement;P2
INC-01;Gestion des Incidents;Un plan de continuité (PCA) est-il défini et testé ?;NON;Élevée;❌ Non - Pas de PCA;Rédiger PCA avec RTO/RPO par service;Tests annuels minimum (tabletop exercises);RTO < 4h critiques, équipe de crise nommée, documentation hors-site;P3
INC-02;Gestion des Incidents;Une procédure de réponse aux incidents est-elle documentée ?;NON;Élevée;❌ Non - Pas de procédure;Créer playbooks incidents (ransomware, breach, DDoS);Définir rôles : détection, containment, eradication, recovery;Communication plan interne/externe, débriefing post-incident;P3
INC-03;Gestion des Incidents;Les incidents sont-ils tracés et analysés ?;NON;Moyenne;❌ Non - Pas de registre;Créer registre des incidents (date, impact, cause, action);Rapporter incidents critiques à CODIR, statistiques trimestrielles;Dashboard incidents, tendances analysées, corrective actions implémentées;P3
